airportName,year,pax,movements
EAST MIDLANDS INTERNATIONAL,2006,670613,15092
EDINBURGH,2006,5860449,84820
EXETER,2006,404617,9179
GATWICK,2006,4054524,49377
GLASGOW,2006,4571901,66826
GLOUCESTERSHIRE,2006,0,0
HAWARDEN,2006,0,0
HEATHROW,2006,5993153,58799
HUMBERSIDE,2006,29656,2049
INVERNESS,2006,649581,16137
ISLAY,2006,26218,1307
ISLE OF MAN,2006,741254,30413
ISLES OF SCILLY (ST.MARYS),2006,128055,11104
KENT INTERNATIONAL,2006,0,8
KIRKWALL,2006,116715,9807
LANDS END (ST JUST),2006,23380,4430
LEEDS BRADFORD,2006,630395,17268
LERWICK (TINGWALL),2006,4380,1422
LIVERPOOL (JOHN LENNON),2006,882670,16293
LONDON CITY,2006,619732,20102
LUTON,2006,1536643,15066
LYDD,2006,188,4
MANCHESTER,2006,3510922,70227
NEWCASTLE,2006,1781808,27934
NEWQUAY,2006,305864,8991
NORWICH,2006,242118,7954
OXFORD (KIDLINGTON),2006,0,0
PLYMOUTH,2006,76322,4652
PRESTWICK,2006,570315,4453
SCATSTA,2006,149,3225
SHOREHAM,2006,2267,651
SOUTHAMPTON,2006,1292566,32991
SOUTHEND,2006,3762,72
STANSTED,2006,2670854,28749
STORNOWAY,2006,120102,7147
SUMBURGH,2006,118372,5854
TIREE,2006,7016,601
WICK JOHN O GROATS,2006,18540,2441
ABERDEEN,2007,1791362,46492
BARRA,2007,10415,1176
BELFAST CITY (GEORGE BEST),2007,2092991,37312
BELFAST INTERNATIONAL,2007,3445586,38431
BENBECULA,2007,34992,2857
BIGGIN HILL,2007,0,0
BIRMINGHAM,2007,1541058,30230
BLACKPOOL,2007,118682,3799
BOURNEMOUTH,2007,108325,4150
BRISTOL,2007,1275145,20806
CAMBRIDGE,2007,0,4
CAMPBELTOWN,2007,8723,972
CARDIFF WALES,2007,421537,7686
CITY OF DERRY (EGLINTON),2007,381077,4180
COVENTRY,2007,59232,1793
DONCASTER SHEFFIELD,2007,104346,1802
DUNDEE,2007,63259,3173
DURHAM TEES VALLEY,2007,122928,4689
EAST MIDLANDS INTERNATIONAL,2007,696035,15537
EDINBURGH,2007,5613019,79585
EXETER,2007,401121,9529
GATWICK,2007,4016012,49067
GLASGOW,2007,4592151,66626
GLOUCESTERSHIRE,2007,5200,450
HAWARDEN,2007,0,0
HEATHROW,2007,5752812,59561
HUMBERSIDE,2007,32751,2076
INVERNESS,2007,675279,14606
ISLAY,2007,28403,1343
ISLE OF MAN,2007,709819,28902
ISLES OF SCILLY (ST.MARYS),2007,130633,12102
KENT INTERNATIONAL,2007,0,17
KIRKWALL,2007,131833,10728
LANDS END (ST JUST),2007,28278,5108
LEEDS BRADFORD,2007,628309,18801
LERWICK (TINGWALL),2007,4984,1630
LIVERPOOL (JOHN LENNON),2007,823947,11174
LONDON CITY,2007,697197,20255
LUTON,2007,1487795,13828
LYDD,2007,0,2
MANCHESTER,2007,3223283,64387
NEWCASTLE,2007,1673581,26260
NEWQUAY,2007,321875,9323
NORWICH,2007,226799,6818
OXFORD (KIDLINGTON),2007,0,0
PLYMOUTH,2007,78156,4662
PRESTWICK,2007,593096,4954
SCATSTA,2007,0,3289
SHOREHAM,2007,1919,480
SOUTHAMPTON,2007,1197181,30097
SOUTHEND,2007,4036,77
STANSTED,2007,2550453,27569
STORNOWAY,2007,126194,7412
SUMBURGH,2007,134363,6501
TIREE,2007,7807,606
WICK JOHN O GROATS,2007,20090,2040
ABERDEEN,2008,1680729,45868
BARRA,2008,10705,1249
BELFAST CITY (GEORGE BEST),2008,2500089,38399
BELFAST INTERNATIONAL,2008,3098158,36393
BENBECULA,2008,33595,2754
BIGGIN HILL,2008,0,0
BIRMINGHAM,2008,1470451,27112
BLACKPOOL,2008,65114,2835
BOURNEMOUTH,2008,157162,4526
BRISTOL,2008,1171328,18296
CAMBRIDGE,2008,0,2
CAMPBELTOWN,2008,9072,978
CARDIFF WALES,2008,411539,9038
CITY OF DERRY (EGLINTON),2008,401074,4315
COVENTRY,2008,48953,1307
DONCASTER SHEFFIELD,2008,49546,1021
DUNDEE,2008,58909,3634
DURHAM TEES VALLEY,2008,119631,4317
EAST MIDLANDS INTERNATIONAL,2008,745484,17685
EDINBURGH,2008,5279314,77691
EXETER,2008,356112,8182
GATWICK,2008,3726778,48515
GLASGOW,2008,4189767,61198
GLOUCESTERSHIRE,2008,19062,1638
HAWARDEN,2008,0,0
HEATHROW,2008,5562060,60952
HUMBERSIDE,2008,33868,2050
INVERNESS,2008,651448,13208
ISLAY,2008,29136,1477
ISLE OF MAN,2008,714226,26646
ISLES OF SCILLY (ST.MARYS),2008,122790,11279
KENT INTERNATIONAL,2008,0,41
KIRKWALL,2008,137428,11181
LANDS END (ST JUST),2008,26341,4752
LEEDS BRADFORD,2008,577783,17129
LERWICK (TINGWALL),2008,4731,1481
LIVERPOOL (JOHN LENNON),2008,813170,9751
LONDON CITY,2008,659493,18270
LUTON,2008,1316955,12975
LYDD,2008,0,0
MANCHESTER,2008,2936233,57590
NEWCASTLE,2008,1505443,26654
NEWQUAY,2008,344575,10499
NORWICH,2008,191587,5839
OXFORD (KIDLINGTON),2008,0,0
PLYMOUTH,2008,95306,6069
PRESTWICK,2008,685724,5713
SCATSTA,2008,204,3245
SHOREHAM,2008,74,286
SOUTHAMPTON,2008,1176259,29300
SOUTHEND,2008,3978,98
STANSTED,2008,2340776,26375
STORNOWAY,2008,130760,7747
SUMBURGH,2008,138199,6812
TIREE,2008,8419,798
WICK JOHN O GROATS,2008,22652,1933
ABERDEEN,2009,1546265,45177
BARRA,2009,10182,1196
BELFAST CITY (GEORGE BEST),2009,2565409,36215
BELFAST INTERNATIONAL,2009,2867968,31275
BENBECULA,2009,32692,2791
BIGGIN HILL,2009,0,0
BIRMINGHAM,2009,1318755,24257
BLACKPOOL,2009,56289,3032
BOURNEMOUTH,2009,124115,3489
BRISTOL,2009,1108002,16978
CAMBRIDGE,2009,0,3
CAMPBELTOWN,2009,9374,960
CARDIFF WALES,2009,372530,8585
CITY OF DERRY (EGLINTON),2009,301346,2616
COVENTRY,2009,0,12
DONCASTER SHEFFIELD,2009,38099,862
DUNDEE,2009,72360,3934
DURHAM TEES VALLEY,2009,46200,2734
EAST MIDLANDS INTERNATIONAL,2009,633095,17120
EDINBURGH,2009,4903827,68922
EXETER,2009,311399,7569
GATWICK,2009,3660257,48555
GLASGOW,2009,3788329,52164
GLOUCESTERSHIRE,2009,20169,1749
HAWARDEN,2009,0,0
HEATHROW,2009,5253691,52516
HUMBERSIDE,2009,34597,2025
INVERNESS,2009,575502,11531
ISLAY,2009,26285,1279
ISLE OF MAN,2009,668752,25150
ISLES OF SCILLY (ST.MARYS),2009,118654,10955
KENT INTERNATIONAL,2009,1598,48
KIRKWALL,2009,137455,10741
LANDS END (ST JUST),2009,34439,5282
LEEDS BRADFORD,2009,454093,14367
LERWICK (TINGWALL),2009,4663,1591
LIVERPOOL (JOHN LENNON),2009,799329,10042
LONDON CITY,2009,592095,15917
LUTON,2009,1174673,11320
LYDD,2009,59,2
MANCHESTER,2009,2559726,44856
NEWCASTLE,2009,1406800,24454
NEWQUAY,2009,310783,11474
NORWICH,2009,161775,5500
OXFORD (KIDLINGTON),2009,0,27
PLYMOUTH,2009,110200,7759
PRESTWICK,2009,459233,3992
SCATSTA,2009,121,4632
SHOREHAM,2009,0,194
SOUTHAMPTON,2009,1105085,27208
SOUTHEND,2009,2858,48
STANSTED,2009,1893604,20942
STORNOWAY,2009,122384,7125
SUMBURGH,2009,132247,6100
TIREE,2009,8202,957
WICK JOHN O GROATS,2009,21236,1955
ABERDEEN,2010,1445397,41823
BARRA,2010,10192,1177
BELFAST CITY (GEORGE BEST),2010,2677129,37011
BELFAST INTERNATIONAL,2010,2387111,27046
BENBECULA,2010,30023,2555
BIGGIN HILL,2010,0,0
BIRMINGHAM,2010,1129645,20918
BLACKPOOL,2010,56118,2758
BOURNEMOUTH,2010,30190,2445
BRISTOL,2010,1078664,17079
CAMBRIDGE,2010,0,7
CAMPBELTOWN,2010,8682,910
CARDIFF WALES,2010,263410,6621
CITY OF DERRY (EGLINTON),2010,274167,2206
COVENTRY,2010,0,0
DONCASTER SHEFFIELD,2010,39227,846
DUNDEE,2010,70111,3637
DURHAM TEES VALLEY,2010,37922,2877
EAST MIDLANDS INTERNATIONAL,2010,577296,16614
EDINBURGH,2010,4430469,62793
EXETER,2010,269641,7021
GATWICK,2010,3493718,48014
GLASGOW,2010,3441664,48178
GLOUCESTERSHIRE,2010,15625,1508
HAWARDEN,2010,0,0
HEATHROW,2010,4840631,47157
HUMBERSIDE,2010,33598,1970
INVERNESS,2010,518286,9482
ISLAY,2010,24946,1410
ISLE OF MAN,2010,635460,22808
ISLES OF SCILLY (ST.MARYS),2010,113365,10297
KENT INTERNATIONAL,2010,20809,615
KIRKWALL,2010,128555,10356
LANDS END (ST JUST),2010,29491,5238
LEEDS BRADFORD,2010,400286,14453
LERWICK (TINGWALL),2010,4594,1398
LIVERPOOL (JOHN LENNON),2010,804428,11377
LONDON CITY,2010,556056,13542
LUTON,2010,935951,8961
LYDD,2010,0,0
MANCHESTER,2010,2229545,41386
NEWCASTLE,2010,1248492,22310
NEWQUAY,2010,250203,10474
NORWICH,2010,153233,5328
OXFORD (KIDLINGTON),2010,0,44
PLYMOUTH,2010,91881,6691
